0	730963.7577729186	6179581.908870482	64.0
1	730870.862952544	6179230.257396596	64.0
2	730366.9106492893	6179986.935554597	64.0
3	729772.470521759	6179994.814218744	64.0
4	730734.3566708006	6178901.890939274	64.0
5	730998.5279346087	6179858.141023425	64.0
6	730576.7689575148	6178565.772263432	64.0
7	730760.144013146	6178303.322869995	64.0
8	728921.1919432124	6179869.289920477	64.0
9	730736.7556744074	6178008.527032279	64.0
10	730722.4322920848	6177749.213652558	64.0
11	729850.1339048569	6179213.382231668	64.0
12	730714.8	6177389.0	64.0
13	730714.4	6177206.0	64.0
14	730710.6	6177023.0	64.0
15	730743.5236728499	6176836.235739199	64.0
16	730891.8251630802	6176468.60223932	64.0
17	730236.4051137076	6176016.196486693	64.0
18	730974.1050569279	6176320.7247576155	64.0
19	730919.3254051956	6176057.3895174535	64.0
